host     os-core variant-core emon           port channel
hopper1     6          2      128.143.67.157 9600 1
hopper2     6          4      128.143.67.157 9600 2
hopper3                       128.143.67.157 9600 3
hopper4                       128.143.67.157 9600 4
hopper5                       128.143.67.158 9600 1
hopper6                       128.143.67.158 9600 2
hopper7                       128.143.67.156 9600 1
hopper8                       128.143.67.156 9600 2
hopper9                       128.143.67.156 9600 3
hopper10                      128.143.67.156 9600 4
hopper11                      128.143.136.43 9600 1
hopper12                      128.143.136.43 9600 2
hopper13                      128.143.136.43 9600 3
